family	gradle-group	accepted-components	published-license	upstream-source
JetBrains AndroidX lifecycle	org.jetbrains.androidx.lifecycle	lifecycle-common-jvm:2.11.0,lifecycle-common:2.11.0,lifecycle-runtime-compose-desktop:2.11.0,lifecycle-runtime-compose:2.11.0,lifecycle-runtime-desktop:2.11.0,lifecycle-runtime:2.11.0,lifecycle-viewmodel-compose-desktop:2.11.0,lifecycle-viewmodel-compose:2.11.0,lifecycle-viewmodel-desktop:2.11.0,lifecycle-viewmodel-savedstate-desktop:2.11.0,lifecycle-viewmodel-savedstate:2.11.0,lifecycle-viewmodel:2.11.0	Apache-2.0	https://github.com/JetBrains/compose-multiplatform-core
JetBrains AndroidX navigation	org.jetbrains.androidx.navigation	navigation-common:2.9.2,navigation-common-desktop:2.9.2,navigation-compose:2.9.2,navigation-compose-desktop:2.9.2,navigation-runtime:2.9.2,navigation-runtime-desktop:2.9.2	Apache-2.0	https://github.com/JetBrains/compose-multiplatform-core
JetBrains AndroidX navigation event	org.jetbrains.androidx.navigationevent	navigationevent-compose-desktop:1.1.0,navigationevent-compose:1.1.0	Apache-2.0	https://github.com/JetBrains/compose-multiplatform-core
JetBrains AndroidX saved state	org.jetbrains.androidx.savedstate	savedstate:1.3.6,savedstate-compose:1.3.6,savedstate-compose-desktop:1.3.6	Apache-2.0	https://github.com/JetBrains/compose-multiplatform-core
Compose animation	org.jetbrains.compose.animation	animation-core-desktop:1.12.0,animation-core:1.12.0,animation-desktop:1.12.0,animation:1.12.0	Apache-2.0	https://github.com/JetBrains/compose-multiplatform
Compose internal annotations	org.jetbrains.compose.annotation-internal	annotation:1.9.1	Apache-2.0	https://github.com/JetBrains/compose-multiplatform
Compose internal collections	org.jetbrains.compose.collection-internal	collection:1.9.1	Apache-2.0	https://github.com/JetBrains/compose-multiplatform
Compose resources	org.jetbrains.compose.components	components-resources-desktop:1.12.0,components-resources:1.12.0	Apache-2.0	https://github.com/JetBrains/compose-multiplatform
Compose Desktop	org.jetbrains.compose.desktop	desktop-jvm-macos-arm64:1.12.0,desktop-jvm:1.12.0,desktop:1.12.0	Apache-2.0	https://github.com/JetBrains/compose-multiplatform
Compose foundation	org.jetbrains.compose.foundation	foundation-desktop:1.12.0,foundation-layout-desktop:1.12.0,foundation-layout:1.12.0,foundation:1.12.0	Apache-2.0	https://github.com/JetBrains/compose-multiplatform
Compose material	org.jetbrains.compose.material	material-desktop:1.12.0,material-icons-core-desktop:1.7.3,material-icons-core:1.7.3,material-icons-extended-desktop:1.7.3,material-icons-extended:1.7.3,material-ripple-desktop:1.12.0,material-ripple:1.12.0,material:1.12.0	Apache-2.0	https://github.com/JetBrains/compose-multiplatform
Compose Material 3	org.jetbrains.compose.material3	material3:1.9.0,material3-desktop:1.9.0	Apache-2.0	https://github.com/JetBrains/compose-multiplatform
Compose runtime	org.jetbrains.compose.runtime	runtime-desktop:1.12.0,runtime-saveable-desktop:1.12.0,runtime-saveable:1.12.0,runtime:1.12.0	Apache-2.0	https://github.com/JetBrains/compose-multiplatform
Compose UI	org.jetbrains.compose.ui	ui-backhandler-desktop:1.12.0,ui-backhandler:1.12.0,ui-desktop:1.12.0,ui-geometry-desktop:1.12.0,ui-geometry:1.12.0,ui-graphics-desktop:1.12.0,ui-graphics:1.12.0,ui-text-desktop:1.12.0,ui-text:1.12.0,ui-tooling-preview-desktop:1.12.0,ui-tooling-preview:1.12.0,ui-unit-desktop:1.12.0,ui-unit:1.12.0,ui-util-desktop:1.12.0,ui-util:1.12.0,ui:1.12.0	Apache-2.0	https://github.com/JetBrains/compose-multiplatform
Kotlin standard library	org.jetbrains.kotlin	kotlin-stdlib:2.4.10,kotlin-stdlib-common:2.4.10	Apache-2.0	https://github.com/JetBrains/kotlin
KotlinX libraries	org.jetbrains.kotlinx	atomicfu:0.33.0,atomicfu-jvm:0.33.0,kotlinx-coroutines-bom:1.11.0,kotlinx-coroutines-core:1.11.0,kotlinx-coroutines-core-jvm:1.11.0,kotlinx-coroutines-slf4j:1.11.0,kotlinx-coroutines-swing:1.11.0,kotlinx-datetime:0.8.0,kotlinx-datetime-jvm:0.8.0,kotlinx-io-bytestring:0.9.1,kotlinx-io-bytestring-jvm:0.9.1,kotlinx-io-core:0.9.1,kotlinx-io-core-jvm:0.9.1,kotlinx-serialization-bom:1.11.0,kotlinx-serialization-core:1.11.0,kotlinx-serialization-core-jvm:1.11.0,kotlinx-serialization-json:1.11.0,kotlinx-serialization-json-io:1.11.0,kotlinx-serialization-json-io-jvm:1.11.0,kotlinx-serialization-json-jvm:1.11.0	Apache-2.0	https://github.com/Kotlin/kotlinx.coroutines; https://github.com/Kotlin/kotlinx-datetime; https://github.com/Kotlin/kotlinx-io; https://github.com/Kotlin/kotlinx.serialization; https://github.com/Kotlin/kotlinx-atomicfu
JetBrains Runtime API	org.jetbrains.runtime	jbr-api:1.9.0	Apache-2.0	https://github.com/JetBrains/JetBrainsRuntimeApi
Skiko	org.jetbrains.skiko	skiko-awt-runtime-macos-arm64:0.150.1,skiko-awt:0.150.1,skiko:0.150.1	Apache-2.0	https://github.com/JetBrains/skiko
JetBrains annotations	org.jetbrains	annotations:23.0.0	Apache-2.0	https://github.com/JetBrains/java-annotations
JSpecify	org.jspecify	jspecify:1.0.0	Apache-2.0	https://github.com/jspecify/jspecify
SLF4J	org.slf4j	slf4j-api:2.0.18	MIT	https://github.com/qos-ch/slf4j
